statusCode,data
200,"{'rank': 13, 'price': 1.0601061592956715e-05, 'price24h': 5.247593273483779e-05, 'variation24h': -79.79824075443472, 'creationBlock': 318147683, 'creationTime': '2025-02-03T06:13:52.146Z', 'exchange': {'name': 'Meteora', 'factory': 'eo7wjkq67rjjqszxs6z3ykapzy3emj6xy8x5eqvn5uab'}, 'address': '3RzsttkFNf1y38NwWrq6oAfMxyVCUzHuAzefBSufG7UU', 'mainToken': {'name': 'Andy Warhol Queen Elizabeth II', 'symbol': 'Queen', 'address': 'E14jecSeL6iiQk5obt8vPzpMYMhKXZpDYSBtEx8Bpump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 14, 'price': 1.0850774583817171e-05, 'price24h': 5.205669229868682e-05, 'variation24h': -79.15585085283858, 'creationBlock': 318147864, 'creationTime': '2025-02-03T06:15:04.295Z', 'exchange': {'name': 'Raydium', 'factory': '675kpx9mhtjs2zt1qfr1nyhuzelxfqm9h24wfsut1mp8'}, 'address': 'BxaPFjStuP78SiZY6gqjL3GkxZSpSQN181kNSLZy67Tm', 'mainToken': {'name': 'Andy Warhol Queen Elizabeth II', 'symbol': 'Queen', 'address': 'E14jecSeL6iiQk5obt8vPzpMYMhKXZpDYSBtEx8Bpump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 15, 'price': 1.5778829123311444e-05, 'price24h': 7.331389794148006e-05, 'variation24h': -78.47771082106932, 'creationTime': '2025-05-15T16:18:31.902Z', 'exchange': {'name': 'PumpSwap', 'factory': 'pammbay6oceh9fjkbrhgp5d4bd4swpmswmn52fmfxea'}, 'address': 'GAhiPuZaeTnmAinap5uNV4ujzdcZpqScRFEgFRuzPMDX', 'mainToken': {'name': 'J.P.Morgasm', 'symbol': 'JPM', 'address': '1VVVPy63cxFVmg1F8GDQUFooXRmEMhg6eYQrGdSpump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 16, 'price': 1.682620863306519e-05, 'price24h': 7.122358954490247e-05, 'variation24h': -76.3755116239161, 'creationTime': '2025-05-15T18:23:11.847Z', 'exchange': {'name': 'PumpSwap', 'factory': 'pammbay6oceh9fjkbrhgp5d4bd4swpmswmn52fmfxea'}, 'address': 'EVYXrJeP9LFLbqJ2y82oFQGj362qvQ1SQux9GaB7mAzv', 'mainToken': {'name': 'Young Unemployed Profitable', 'symbol': 'YUPPIE', 'address': 'ai3NLorY1am1DtcHX31DhynzGb3jKEGHJmwrsx4pump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 17, 'price': 0.00020712896265165246, 'price24h': 0.0008256037449293949, 'variation24h': -74.91181890540408, 'creationTime': '2025-05-14T12:56:52.161Z', 'exchange': {'name': 'PumpSwap', 'factory': 'pammbay6oceh9fjkbrhgp5d4bd4swpmswmn52fmfxea'}, 'address': 'Eoxw9SyNpHfL2XiH95smhEMnVxeXX4Yg3r9VN17y3Ube', 'mainToken': {'name': 'HODLtheDeed', 'symbol': 'DEED', 'address': '7ShkWJYkSwXm96s54wquo8qyd1G57phn9eVkv6LVpump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 18, 'price': 2.5565539688519183e-06, 'price24h': 1.0075105509818909e-05, 'variation24h': -74.62504024041858, 'creationBlock': 332426202, 'creationTime': '2025-04-09T23:51:15.368Z', 'exchange': {'name': 'Meteora', 'factory': 'eo7wjkq67rjjqszxs6z3ykapzy3emj6xy8x5eqvn5uab'}, 'address': '7Tg3AvAKZewca3u9fXUfHYDmcfj2GJ8oqa6LYinhgmS1', 'mainToken': {'name': 'Nitzchi', 'symbol': 'NITZCHI', 'address': 'BQpYEd7eC9Kmhq5JpsS5PKqTWpL9G3rVy8bn1y7CUNxq'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 19, 'price': 2.5984320352082403e-06, 'price24h': 1.0128833843490866e-05, 'variation24h': -74.3461875734285, 'creationBlock': 332423685, 'creationTime': '2025-04-09T23:34:31.150Z', 'exchange': {'name': 'Meteora', 'factory': 'eo7wjkq67rjjqszxs6z3ykapzy3emj6xy8x5eqvn5uab'}, 'address': 'Hv3ak1m7RSCEygkzKXJUjN9oRazogLaPDpWZEkzQjiyP', 'mainToken': {'name': 'Nitzchi', 'symbol': 'NITZCHI', 'address': 'BQpYEd7eC9Kmhq5JpsS5PKqTWpL9G3rVy8bn1y7CUNxq'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 20, 'price': 5.020395231515091e-05, 'price24h': 0.00015787557086227973, 'variation24h': -68.20030354224623, 'creationTime': '2025-05-12T20:57:40.922Z', 'exchange': {'name': 'PumpSwap', 'factory': 'pammbay6oceh9fjkbrhgp5d4bd4swpmswmn52fmfxea'}, 'address': '9SB91QiMssmVSLnhPmtCP23XD7imfXmTbqPzz2rjduxx', 'mainToken': {'name': 'Mr. SOL', 'symbol': 'MrSOL', 'address': 'Hpqhsx3vzn8sgeHuX3ns9sUevyMeCgJ8Adh1Xx53pump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 21, 'price': 0.0039802139696383364, 'price24h': 0.012292019726400386, 'variation24h': -67.61952829371265, 'creationBlock': 339888724, 'creationTime': '2025-05-14T04:36:59.348Z', 'exchange': {'name': 'Meteora DLMM', 'factory': 'lbuzkhrxpf3xupbcjp4yztkglccjzhtsdm9yuvapwxo'}, 'address': '6krADedi14PB7PLMZMvB5d1e7NKpWJTi14P8vYEHqajg', 'mainToken': {'name': 'Unicorn', 'symbol': 'UNICORN', 'address': 'DzN1qkcRdsxQRFb9yVvz73Fnu6SbD3f5oJgArVdx7Nzc'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 22, 'price': 1.0946289826519575e-05, 'price24h': 3.322603827267452e-05, 'variation24h': -67.05508572316931, 'creationBlock': 339878191, 'creationTime': '2025-05-14T03:27:04.801Z', 'exchange': {'name': 'Raydium CPMM', 'factory': 'cpmmoo8l3f4nbtegbckvnunggl7h1zpdthkxqb5qkp1c'}, 'address': 'S1L14eGxbzRqtfrB1dP6zYJJ1pyy1tJQxMZgsDDnGdN', 'mainToken': {'name': 'TrapLaunch', 'symbol': 'TRAP', 'address': '2whML2S82qvb1u6PiDJ8eaEtfn4JuJF2QE9cKFEAsWGu'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 23, 'price': 0.004324909855676162, 'price24h': 0.012710965027207283, 'variation24h': -65.97496849044211, 'creationBlock': 340041883, 'creationTime': '2025-05-14T21:31:16.288Z', 'exchange': {'name': 'Meteora DLMM', 'factory': 'lbuzkhrxpf3xupbcjp4yztkglccjzhtsdm9yuvapwxo'}, 'address': '69gQbv591H24VVz6gTsTB4kjKeKoZB7bk9nXka1N7jRS', 'mainToken': {'name': 'Unicorn', 'symbol': 'UNICORN', 'address': 'DzN1qkcRdsxQRFb9yVvz73Fnu6SbD3f5oJgArVdx7Nzc'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 24, 'price': 0.004252333191378067, 'price24h': 0.012492320493585672, 'variation24h': -65.9604218963044, 'creationBlock': 339887446, 'creationTime': '2025-05-14T04:28:30.409Z', 'exchange': {'name': 'Meteora', 'factory': 'eo7wjkq67rjjqszxs6z3ykapzy3emj6xy8x5eqvn5uab'}, 'address': '7fZHaSuBHXqZaNK3sLaNuvgzj4MDnnUFjX9E2yspYbur', 'mainToken': {'name': 'Unicorn', 'symbol': 'UNICORN', 'address': 'DzN1qkcRdsxQRFb9yVvz73Fnu6SbD3f5oJgArVdx7Nzc'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 25, 'price': 0.004427749883501983, 'price24h': 0.012892226874696131, 'variation24h': -65.65566269864185, 'creationBlock': 340011393, 'creationTime': '2025-05-14T18:09:03.814Z', 'exchange': {'name': 'Meteora DLMM', 'factory': 'lbuzkhrxpf3xupbcjp4yztkglccjzhtsdm9yuvapwxo'}, 'address': '8GtqLi4WVixvS93D7a2rUz5qziLH1tY7n1LrzLJj3VUo', 'mainToken': {'name': 'Unicorn', 'symbol': 'UNICORN', 'address': 'DzN1qkcRdsxQRFb9yVvz73Fnu6SbD3f5oJgArVdx7Nzc'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 26, 'price': 0.004472791490647097, 'price24h': 0.012915668423600235, 'variation24h': -65.36926046758708, 'creationBlock': 339892856, 'creationTime': '2025-05-14T05:04:18.910Z', 'exchange': {'name': 'Meteora DLMM', 'factory': 'lbuzkhrxpf3xupbcjp4yztkglccjzhtsdm9yuvapwxo'}, 'address': '7jS2EiCBqjv1JSowpmBwQrcb57p72Zavfx8KTUWWazzW', 'mainToken': {'name': 'Unicorn', 'symbol': 'UNICORN', 'address': 'DzN1qkcRdsxQRFb9yVvz73Fnu6SbD3f5oJgArVdx7Nzc'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
