timestamp,price,returns,log_returns,sma_10,sma_50,ema_10,ema_50,ema_200,volatility_10,volatility_50,bb_high,bb_low,bb_width,bb_pct,rsi_14,rsi_21,macd,macd_signal,macd_histogram,stoch_k,stoch_d,adx,adx_pos,adx_neg,atr,momentum_1,momentum_5,momentum_10,momentum_20,acceleration,daily_range,range_5,token_address
2025-04-25 18:01:02.326,1.0005036697551684,-0.00013657116484699916,-0.000136580491537714,1.0004543638553822,1.0003185090979738,1.0004912990619181,1.0003455977789737,1.0001617198134694,8.193098829843496e-05,7.122737262945347e-05,1.0006493611291432,1.000137247187698,0.05119126040892996,0.7155098461806301,56.85432343134745,56.17087512671937,7.162536976434986e-05,4.4317472613873746e-05,2.730789715047611e-05,65.02900693153612,86.21785862949389,15.817513362844265,56.854323590451415,43.14567640954855,5.888857306186835e-05,-0.00013657116484699916,5.493631508923791e-05,0.00026874153268030554,0.0001227568238590937,-0.00014508849072358831,0.0,0.00014567609374793733,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-25 19:04:56.282,1.0006076830818667,0.00010396096470466354,0.0001039555611380758,1.0004863263501118,1.0003292095239604,1.0005124597928179,1.000355875633989,1.0001661572589262,8.524910569007771e-05,7.113425171582567e-05,1.000677059530253,1.00013222054659,0.054461860916814854,0.8726661445554007,62.01521024592398,59.8425677013317,7.701555417272132e-05,5.085708892564326e-05,2.6158465247078062e-05,89.99843900106806,84.28757022014231,16.404149598824432,62.0152103332833,37.98478966671668,6.211176975018443e-05,0.00010396096470466354,8.704911346346655e-05,0.0003195329032426031,0.0002266312613292687,0.0002405321295516627,0.0,0.00014567609374793733,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-25 20:00:07.241,1.000787851409242,0.0001800589086229376,0.00018004269996329687,1.0005418331706555,1.0003424626880126,1.000562530995804,1.0003728158604697,1.0001723432703722,9.079840238418284e-05,7.485384201168546e-05,1.0007436990897858,1.00010489700715,0.06385311551127808,1.0691173693018283,68.94464346616925,65.1521277507334,9.473336517595854e-05,5.963234417570632e-05,3.510102100025222e-05,100.0,85.00914864420139,17.938802267440725,68.94464347972624,31.05535652027373,7.05443810091313e-05,0.0001800589086229376,0.0001384156806780723,0.0005549390249537378,0.00039300508527984057,7.609794391827407e-05,0.0,0.0002841816540737341,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-25 21:05:35.489,1.000803780462218,1.5916513128599874e-05,1.5916386462248845e-05,1.0005917914605649,1.0003557679373551,1.000606394535152,1.0003897164330873,1.000178626227505,9.141094296282613e-05,7.485479225076725e-05,1.0008038937183839,1.0000856930957676,0.07178813137408793,0.9998423056702924,69.47484629386202,65.5746713285765,0.00010880595220874589,6.946706578231424e-05,3.9338886426431655e-05,100.0,96.66614633368935,19.4395801487429,69.47484630283556,30.52515369716441,6.664328614962069e-05,1.5916513128599874e-05,0.00017186621293596716,0.0004994309734078772,0.0004097457842362484,-0.00016414239549433773,0.0,0.00030011070704971665,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-25 22:04:53.639,1.0008140762000153,1.0287468930725296e-05,1.0287416015079708e-05,1.0006407838232363,1.0003658689534451,1.0006441548378544,1.0004063579925746,1.0001849491128036,9.181326784187563e-05,7.133542704766946e-05,1.0008583222295087,1.0000759684916731,0.0781988435565818,0.9434449822968962,69.83334278477646,65.85564842817101,0.00011941284190530865,7.945622100691312e-05,3.995662089839553e-05,100.0,100.0,20.88437339393792,69.83334279073658,30.166657209263388,6.261846126730533e-05,1.0287468930725296e-05,0.0001736366451383642,0.0004897648681732036,0.0004468750505657315,-5.6290441978745775e-06,0.0,0.00031040644484692237,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-25 23:02:52.970,1.0007066256556116,-0.00010736314262449476,-0.00010736890645924449,1.0006665755098303,1.000372340407364,1.0006555131683557,1.0004181331950466,1.0001901399241748,9.956736245935374e-05,7.261915523891499e-05,1.0008847381283705,1.0000884070788292,0.07959437651112453,0.7763336330267679,61.69041520149068,60.44906552377161,0.0001177906996137068,8.712311672827186e-05,3.066758288543494e-05,81.5152521871024,93.8384173957008,21.062691760814783,61.69041526510697,38.309584734893015,6.582075291990083e-05,-0.00010736314262449476,0.00020285372915518352,0.0002578011882807818,0.0003884213108238388,-0.00011765061155522005,0.0,0.00020639311814862893,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-26 00:01:19.986,1.000614735700874,-9.182506878835373e-05,-9.182928496808536e-05,1.0006759902147553,1.0003771614134493,1.0006480990833588,1.000425843097236,1.0001943647577738,0.00010448461270956194,7.39109835526922e-05,1.0008923164397487,1.0001158644645398,0.07760607703842905,0.6425010847578059,55.70796445487027,56.29878390495562,0.00010784719345613425,9.126793207384435e-05,1.6579261382289895e-05,60.90432414325609,80.80652544345283,20.373637285189375,55.70796455102951,44.29203544897046,6.768283876403255e-05,-9.182506878835373e-05,7.048335852744003e-06,9.409806286764244e-05,0.00035026436844098896,1.553807383614103e-05,0.0,0.00019934049914138718,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-26 01:04:58.777,1.0005965236341703,-1.8200877974106078e-05,-1.8201043612095432e-05,1.0006707079932808,1.000381830066301,1.0006387217289607,1.0004325364516256,1.0001983663386336,9.581896865446549e-05,7.395119481849442e-05,1.0008987416566608,1.0001367395332914,0.07616078080897108,0.6033895271128812,54.57827997713302,55.50572355470624,9.737485489536013e-05,9.248931663814752e-05,4.88553825721261e-06,55.594595977442424,66.00472410260029,19.572417490319303,54.57828007850417,45.4217199214958,6.414921218828769e-05,-1.8200877974106078e-05,-0.00019117715588012896,-5.2787937118159434e-05,0.0002729145630993024,7.362419081424765e-05,0.0,0.00021755256584499172,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-26 02:04:49.345,1.0005079433803077,-8.852744514931121e-05,-8.85313639348653e-05,1.000658321764988,1.0003835270326882,1.0006149438473875,1.0004354935860837,1.0002014467072076,9.939161386094313e-05,7.466320666201569e-05,1.0008980479041338,1.0001549082173287,0.07427486459384476,0.4750589549277772,49.3376804740757,51.7805951392322,8.099411520312572e-05,9.019027635114317e-05,-9.196161148017454e-06,16.212335572114917,44.2370852309378,18.269004727332632,49.33768059574704,50.66231940425294,6.589428659359588e-05,-8.852744514931121e-05,-0.00029559948481983067,-0.00012378407544788583,0.00017469110906542795,-7.032656717520513e-05,0.0,0.0003061328197075941,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
2025-04-26 03:05:33.750,1.0004992088202649,-8.730125633293895e-06,-8.730163741062472e-06,1.000644209809974,1.0003854654387287,1.0005939011151832,1.0004379922227182,1.0002044095143026,9.913811719790753e-05,7.460848557341591e-05,1.0008945215564944,1.0001771716437926,0.07169657290534485,0.4489262084933949,48.83968797137594,51.42327571005186,6.654041845854941e-05,8.546030477262443e-05,-1.8919886314075016e-05,0.0,23.935643849852436,17.12983466185968,48.839688094644366,51.160311905355606,6.181144898282475e-05,-8.730125633293895e-06,-0.00031461126220955205,-0.00014102924511527615,0.00018731237712321658,7.979731951601732e-05,0.0,0.00020741683534675204,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB
