date,open,high,low,close,return,log_return,sma_10,ema_10,sma_50,ema_50,rsi_14,macd,macd_signal,macd_diff,bb_high,bb_low,bb_width,volatility_10,volatility_50,close_lag_1,close_lag_2,close_lag_3
2024-11-25,3.06,3.56,3.0,3.17,0.035947712418300526,0.03531667192489972,2.741,2.829429232790332,2.3056,2.4149446527110214,58.977004035327624,0.2722294925363702,0.16143497094279222,0.11079452159357797,3.5475283455742668,1.298471654425733,2.2490566911485335,0.17818376295022564,0.16944403147355175,3.06,3.6,3.31
2024-11-29,3.17,3.47,2.92,3.08,-0.028391167192428957,-0.028801990903706078,2.785,2.874987554101181,2.3076,2.441025254565491,57.63110618398577,0.27763523336622553,0.18467502342747888,0.09296020993874665,3.5969541222905455,1.3900458777094546,2.206908244581091,0.17903230064793327,0.16936389147398445,3.17,3.06,3.6
2024-12-03,3.08,3.45,3.01,3.12,0.012987012987013102,0.012903404835908001,2.846,2.9195352715373297,2.3132,2.467651715170766,58.08889029823092,0.2818974493056703,0.20411950860311717,0.07777794070255312,3.6298158663975597,1.50518413360244,2.1246317327951196,0.17710228794217525,0.16913439711660017,3.08,3.17,3.06
2024-12-07,3.12,3.58,2.98,3.49,0.11858974358974361,0.11206873439294483,2.946,3.0232561312578152,2.3266,2.5077438047719127,62.1615095572607,0.3115399552490459,0.22560359793230295,0.08593635731674293,3.687761708174574,1.6432382918254262,2.044523416349148,0.1782337172015004,0.16972722826049266,3.12,3.08,3.17
2024-12-11,3.49,4.0,2.66,2.85,-0.18338108882521498,-0.20258274193377673,2.9930000000000003,2.991755016483667,2.326,2.521165616349485,52.634100920620675,0.2801596968827553,0.23651481772239344,0.04364487916036189,3.6589765954533116,1.7790234045466893,1.8799531909066223,0.1911443392962218,0.17209427167433497,3.49,3.12,3.08
2024-12-15,2.85,3.19,2.77,2.84,-0.0035087719298246833,-0.0035149421074446084,3.085,2.9641631953048178,2.3072,2.5336689255122504,52.498704701243824,0.2515836004774532,0.2395285742734054,0.012055026204047803,3.644330255051809,1.8756697449481907,1.7686605101036184,0.1748634748845736,0.1666146413176813,2.85,3.49,3.12
2024-12-19,2.84,2.91,2.3,2.3,-0.1901408450704225,-0.21089492923801062,3.082,2.8434062507039415,2.2876,2.5245054382372603,45.6671208405905,0.18325094830261612,0.22827304907924756,-0.045022100776631435,3.649670552347768,1.855329447652233,1.7943411046955349,0.18004891976800397,0.16780166219597864,2.84,2.85,3.49
2024-12-23,2.31,2.32,1.73,1.91,-0.16956521739130437,-0.18580588087656552,2.9419999999999997,2.6736960233032248,2.2578,2.5004071857573678,41.469904267622546,0.0965145290966598,0.20192134508273002,-0.10540681598607021,3.665334541937807,1.8266654580621928,1.8386690838756143,0.11689386226112355,0.16956529661895364,2.3,2.84,2.85
2024-12-27,1.91,2.09,1.82,1.83,-0.041884816753926635,-0.04278727520520886,2.765,2.5202967463390022,2.239,2.47411670788453,40.644680878183934,0.021076998048156437,0.16575247567581533,-0.1446754776276589,3.710229463404974,1.7107705365950254,1.9994589268099485,0.10708767334216417,0.16753047460086803,1.91,2.3,2.84
2024-12-31,1.84,1.96,1.79,1.82,-0.005464480874316946,-0.005479465764625596,2.641,2.3929700651864563,2.2276,2.4484650722812153,40.536094562775354,-0.03906439520121907,0.12478910150040846,-0.16385349670162752,3.735958954438088,1.5920410455619118,2.143917908876176,0.10326671808764004,0.1662795263649281,1.83,1.91,2.3
2025-01-04,1.82,2.2,1.74,2.16,0.18681318681318682,0.17127172060736964,2.54,2.3506118715161914,2.2245999999999997,2.437152716505482,45.83463944564385,-0.05861603498120127,0.08810807420408652,-0.14672410918528778,3.7347846978734554,1.5462153021265455,2.18856939574691,0.12517991868126588,0.16807598201084617,1.82,1.83,1.91
2025-01-08,2.16,2.19,1.85,1.86,-0.13888888888888895,-0.14953173397096384,2.418,2.261409713058702,2.2266,2.4145192766425216,42.256754675414314,-0.09719790620504787,0.05104687812225965,-0.14824478432730753,3.7474541875659773,1.455545812434023,2.2919083751319542,0.12977592691995793,0.1656303108163671,2.16,1.82,1.83
2025-01-12,1.85,1.88,1.5,1.58,-0.15053763440860213,-0.16315164068623442,2.2640000000000002,2.1375170379571196,2.2174,2.381793030499678,39.18245871234007,-0.14865438187951385,0.011106626121904953,-0.1597610080014188,3.7844632975408414,1.325536702459159,2.4589265950816825,0.1324305434199471,0.1658849629088729,1.86,2.16,1.82
2025-01-16,1.58,1.78,1.36,1.78,0.12658227848101267,0.11918851726511835,2.093,2.072513940146734,2.2112,2.358193303813416,42.40564988160153,-0.1713208014890868,-0.0253788594002934,-0.1459419420887934,3.7945760761617318,1.244423923838268,2.550152152323464,0.13363203397383713,0.16672001108120948,1.58,1.86,2.16
